avg_Zunger_radii_sum,avg_crystal_radius,avg_group,avg_ionic_radius,avg_l_quantum_number,dev_Mendeleev_Number,sum_Miracle_Radius__pm_,sum_Pauling_Electronegativity,sum_heat_atomization(kJ/mol),sum_specific_heat_(J/g_K)_,target
1.9434984984984984,0.6229229229229228,9.602602602602602,1.3325825825825823,1.7117117117117115,8.533416299182065,124.492,1.8115,411.372,0.54145,0.811
1.927615,0.61629,9.743,1.3257499999999998,1.688,8.986656,124.319,1.81443,412.354,0.54875,0.585
2.039095,0.6639199999999998,8.815,1.37555,1.837,4.911515999999998,127.608,1.79414,403.004,0.51498,1.613
2.026315,0.6586399999999999,8.931000000000001,1.37015,1.817,5.513115999999997,127.432,1.79438,403.18,0.5211399999999999,1.521
2.007355,0.6505799999999999,9.091,1.36175,1.791,6.315344000000003,126.918,1.7973600000000003,404.568,0.5274000000000001,1.085
1.98589,0.6414899999999999,9.274,1.3522999999999998,1.761,7.148834000000002,126.375,1.80033,405.96600000000007,0.53493,1.074
1.953025,0.6277,9.561,1.3380499999999995,1.713,8.265095999999996,125.686,1.8034,407.472,0.54808,0.81
1.93882,0.62157,9.675999999999998,1.3316,1.6949999999999998,8.680549999999995,125.199,1.80669,408.966,0.5516099999999999,0.557
1.92829,0.61719,9.77,1.3271000000000002,1.679,8.966874,125.021,1.80723,409.258,0.55631,0.414
1.923235,0.6148600000000001,9.803,1.32455,1.675,9.099,124.682,1.81012,410.528,0.5556800000000001,0.336
2.01691,0.6557599999999999,9.07,1.3679,1.786,6.055344000000002,128.424,1.7829200000000005,398.312,0.53844,1.577
2.010724275724276,0.653086913086913,9.119880119880118,1.365084915084915,1.778221778221778,6.298853993159684,128.33599999999998,1.78618,399.38,0.54047,1.441
2.00245,0.6495,9.186,1.3613,1.768,6.614015999999999,127.906,1.7865,399.932,0.5417799999999999,1.32
1.980265,0.6402899999999999,9.385,1.3518499999999998,1.734,7.432483999999997,127.551,1.78743,400.458,0.5519099999999999,1.084
1.9617400000000005,0.6323900000000001,9.54,1.3436,1.709,8.030134000000006,127.021,1.79063,401.938,0.5577099999999999,0.732
1.9470079920079923,0.626033966033966,9.65934065934066,1.3369130869130872,1.6903096903096906,8.461638261838067,126.644,1.79582,403.884,0.56195,0.404
2.005165,0.65144,9.205,1.36385,1.759,6.585083999999997,128.856,1.77698,395.828,0.55086,1.383
1.9872822822822824,0.6438838838838838,9.35835835835836,1.3560060060060055,1.7337337337337335,7.2315739162586,128.29399999999998,1.77748,396.512,0.55679,1.235
1.970875,0.6368,9.491,1.34855,1.713,7.765995999999999,127.856,1.7831,398.652,0.56138,0.737
1.949635,0.62801,9.683,1.33955,1.6800000000000002,8.398000000000003,127.547,1.78367,399.018,0.57143,0.272
