avg_1st_ionization_potential_(kJ/mol),avg_Period,avg_metallic_valence,dev_Boiling_Point_(K),dev_l_quantum_number,dev_metallic_valence,sum_MB_electonegativity,sum_crystal_radius,sum_thermal_conductivity_(W/(m_K))_,sum_valence_p,target
762.0,4.0,5.78,0.0,0.0,0.0,1.67,0.69,80.2,0.0,230.77
762.15,3.994,5.76932,4.711559999999892,0.011928,0.0212318399999998,1.67186,0.6882599999999999,80.6068,0.012,129.71
762.35,3.986,5.75508,10.905159999999752,0.027608,0.0491422399999998,1.67434,0.68594,81.14920000000001,0.028,71.62
762.775,3.969,5.724819999999999,23.7308099999999,0.0600780000000001,0.1069388400000008,1.6796099999999998,0.6810099999999999,82.3018,0.062,63.66
763.25,3.95,5.691,37.52500000000041,0.095,0.1691000000000004,1.6854999999999998,0.6755,83.59,0.1,42.18
763.4499999999999,3.942,5.67676,43.162440000000274,0.109272,0.1945041600000004,1.6879799999999998,0.6731799999999999,84.1324,0.116,39.79
763.6750000000001,3.933,5.6607400000000005,49.38369000000013,0.1250219999999999,0.2225391599999998,1.69077,0.67057,84.74260000000001,0.134,41.38
764.0500000000001,3.918,5.634040000000001,59.468039999999895,0.1505519999999998,0.2679825599999997,1.69542,0.66622,85.7596,0.164,51.73
764.6500000000001,3.894,5.5913200000000005,74.86355999999992,0.1895279999999999,0.3373598399999998,1.70286,0.65926,87.38680000000001,0.212,32.63
764.85,3.886,5.5770800000000005,79.7931599999998,0.2020079999999999,0.3595742399999998,1.70534,0.65694,87.92920000000001,0.228,23.08
765.125,3.875,5.5575,86.40625,0.21875,0.3893750000000001,1.70875,0.65375,88.675,0.25,19.89
765.475,3.861,5.53258,94.54641000000017,0.239358,0.42605724,1.71309,0.6496899999999999,89.6242,0.278,32.63
766.025,3.839,5.49342,106.71241000000018,0.270158,0.4808812399999999,1.71991,0.6433099999999999,91.1158,0.322,42.97
766.4499999999999,3.822,5.463159999999999,115.58963999999996,0.2926320000000001,0.5208849600000005,1.72518,0.63838,92.2684,0.356,43.77
766.85,3.806,5.43468,123.5275599999998,0.312728,0.5566558400000001,1.73014,0.63374,93.35320000000002,0.388,38.2
767.375,3.785,5.3973,133.33224999999985,0.3375499999999999,0.6008389999999999,1.73665,0.6276499999999999,94.77700000000002,0.43,46.95
767.6,3.776,5.38128,137.32096,0.3476479999999999,0.61881344,1.73944,0.62504,95.3872,0.448,43.77
768.125,3.755,5.3439,146.13025000000005,0.36995,0.6585110000000004,1.74595,0.6189499999999999,96.811,0.49,52.52
768.425,3.743,5.32254,150.85128999999995,0.3819020000000001,0.6797855600000002,1.74967,0.61547,97.6246,0.514,79.58
758.688,3.982,5.72996,10.004616000000048,0.035352,0.09827856,1.66946,0.68712,83.0224,0.018,47.75
759.624,3.978,5.72684,13.930632000000289,0.043032,0.1039809600000001,1.67206,0.6854399999999999,82.9376,0.03,47.75
760.2420000000001,3.97,5.7146,20.381639999999862,0.0582,0.1268760000000003,1.6752199999999997,0.6828599999999999,83.30199999999999,0.048,38.2
759.981,3.947,5.66966,36.25684200000002,0.1003820000000001,0.2089839600000007,1.68099,0.67671,85.2174,0.09,33.42
759.6949999999999,3.925,5.6265,50.66225000000019,0.1387499999999999,0.2839750000000002,1.68645,0.6708500000000001,87.065,0.13,31.83
760.263,3.919,5.617820000000001,55.10140199999984,0.1488779999999999,0.2980868399999994,1.68899,0.66885,87.2938,0.144,29.44
760.07,3.91,5.5998,60.62419999999996,0.1637999999999999,0.3279640000000001,1.6911,0.6665000000000001,88.082,0.16,26.26
761.6493506493507,3.897102897102898,5.582857142857144,70.11383421772975,0.1846185782249716,0.3537148565719991,1.69884,0.6626399999999999,88.5096,0.192,21.49
762.4920000000001,3.88,5.5544,81.05855999999967,0.2111999999999999,0.397056,1.70312,0.65676,89.404,0.228,14.32
762.5649999999999,3.852,5.50156,96.75311999999984,0.2521920000000001,0.4744617599999998,1.7107799999999995,0.64903,91.5694,0.281,16.71
763.2592592592592,3.840840840840841,5.483683683683684,103.27276225174148,0.2676550424298172,0.4983097211325439,1.7131999999999998,0.6448899999999999,92.057,0.305,47.75
762.772,3.827,5.45506,109.87687400000004,0.2861420000000002,0.5374507600000005,1.71785,0.6420399999999999,93.4424,0.329,47.75
763.3220000000001,3.8050000000000006,5.415900000000001,120.94480999999978,0.31395,0.5862009999999999,1.72467,0.63566,94.934,0.373,39.79
763.3526473526475,3.787212787212788,5.382257742257743,128.98493314876913,0.3350176297229243,0.6262155826191786,1.73124,0.63139,96.4126,0.407,45.36
763.9970000000001,3.778000000000001,5.367840000000001,133.4830159999998,0.345432,0.6413209599999996,1.73304,0.6278299999999999,96.7646,0.427,43.77
764.887112887113,3.7592407592407593,5.336463536463538,141.85894026053847,0.3655884574965493,0.6735019226527714,1.7412799999999995,0.62275,97.955,0.467,47.75
765.1091091091092,3.7417417417417416,5.304284284284285,148.67207147087026,0.3831218605993379,0.7057164070977883,1.74287,0.61657,99.0362,0.5,55.7
764.963,3.731,5.28318,152.39741800000004,0.3932779999999999,0.7263508400000003,1.74727,0.6143299999999999,100.0402,0.52,95.49
751.696,3.944,5.62432,29.92102399999996,0.105728,0.2939238400000002,1.6683199999999998,0.68104,88.9808,0.056,31.83
751.753,3.925,5.588500000000001,42.78864999999992,0.1387499999999999,0.3542749999999997,1.6735300000000002,0.67579,90.447,0.092,28.65
752.412,3.907,5.557460000000001,55.05671400000009,0.168702,0.4036875599999996,1.67945,0.6704399999999999,91.5784,0.129,36.61
752.8461538461537,3.8901098901098896,5.527452547452548,65.91970666695957,0.1956285472768989,0.4495899704690914,1.68639,0.6661999999999999,92.8112,0.163,26.26
753.2460000000001,3.882,5.513960000000001,71.1562319999998,0.2081519999999999,0.4692945599999996,1.6875399999999998,0.6630600000000001,93.1844,0.18,25.46
754.625,3.877,5.5110600000000005,75.3956900000001,0.215742,0.4717207599999998,1.69113,0.6608299999999999,92.98940000000002,0.196,15.92
754.239,3.859,5.47502,85.29354599999995,0.242238,0.5239556400000003,1.69535,0.65613,94.5658,0.2279999999999999,11.94
755.013986013986,3.845154845154845,5.452427572427572,93.55129585699,0.2617362657322697,0.5536988486039439,1.70204,0.6525,95.4172,0.258,7.88
755.3046953046954,3.825174825174825,5.415864135864137,104.17976429165228,0.2885226661450436,0.6009514960563908,1.7079,0.6468299999999998,96.8622,0.297,19.89
755.9720279720281,3.815184815184815,5.400079920079921,109.71687253805128,0.3013170645538278,0.6194101602693005,1.71168,0.6436699999999999,97.36220000000002,0.319,39.79
757.168,3.792,5.36176,121.62585600000008,0.3294719999999999,0.66249216,1.71816,0.6359199999999999,98.5744,0.368,40.58
757.0,3.782,5.34196,125.91763999999986,0.340952,0.6850945600000001,1.7205800000000002,0.63328,99.43040000000002,0.386,28.65
757.341,3.76,5.3018,135.4137600000001,0.3648,0.7268640000000002,1.7270599999999998,0.62703,101.011,0.429,17.51
758.184,3.743,5.273540000000001,142.6961219999998,0.3819020000000001,0.75259956,1.73301,0.62184,101.9856,0.4649999999999999,18.3
758.793,3.727,5.246060000000001,148.97538599999996,0.3969419999999999,0.7763487599999997,1.7383099999999998,0.6170699999999999,102.9814,0.498,25.46
754.1158841158841,3.789210789210789,5.341858141858142,120.29590788831568,0.332714238808145,0.6915725633008349,1.71566,0.6376900000000001,100.193,0.359,23.87
754.1411411411411,3.7787787787787774,5.322162162162162,124.92734175617068,0.3445647850052254,0.7131087844601358,1.7150800000000002,0.63354,100.7996,0.378,23.87
754.349,3.771,5.3083800000000005,128.42855400000013,0.3531179999999999,0.7272380399999999,1.7192299999999998,0.63191,101.4222,0.394,17.51
754.565,3.754,5.277120000000001,135.55411999999993,0.3709679999999999,0.7583430399999997,1.72416,0.62711,102.6638,0.427,5.57
744.888,3.907,5.52146,47.74266599999997,0.1687019999999999,0.46899156,1.66721,0.6751199999999999,94.7824,0.093,27.85
745.1720000000001,3.904,5.51712,49.92972799999999,0.1735679999999999,0.47528704,1.6684799999999995,0.67412,94.8968,0.1,28.65
744.979,3.895,5.4991,55.395130000000094,0.18795,0.502811,1.67059,0.6717699999999999,95.685,0.1159999999999999,31.83
745.688,3.875,5.4645,68.17824999999988,0.21875,0.5521250000000001,1.67713,0.66584,96.952,0.157,35.81
746.6899999999999,3.86,5.440800000000001,77.77840000000018,0.2407999999999999,0.5834239999999993,1.6828,0.6610999999999999,97.702,0.19,22.28
746.865,3.853,5.42834,81.8624100000001,0.250782,0.5999319599999999,1.68497,0.6590699999999999,98.1766,0.204,17.51
747.4580000000001,3.846,5.417880000000001,86.24800799999981,0.2605679999999998,0.6127070399999994,1.68782,0.6567799999999999,98.4732,0.22,15.92
748.5350000000001,3.828,5.38884,96.74352000000006,0.284832,0.6477609600000003,1.6944199999999998,0.65117,99.4266,0.259,7.96
748.2830000000001,3.8130000000000006,5.359140000000001,104.07863399999977,0.3040619999999999,0.6843183599999997,1.6980499999999998,0.64721,100.7106,0.286,7.96
748.892,3.797,5.331660000000001,112.28295399999988,0.3235819999999999,0.7146539599999996,1.70335,0.64244,101.7064,0.319,15.92
749.158,3.778000000000001,5.29684,121.10970399999968,0.3454319999999999,0.75179696,1.7089,0.63706,103.0836,0.356,19.89
750.285,3.758,5.26424,130.4821200000001,0.366872,0.7818921600000002,1.71612,0.6308699999999999,104.17260000000002,0.399,4.3
750.535,3.748,5.246440000000001,134.66992,0.376992,0.79820576,1.71922,0.6279699999999999,104.8506,0.419,4.06
750.685,3.742,5.23576,137.10676000000015,0.382872,0.8076521600000002,1.72108,0.6262300000000001,105.25740000000002,0.431,5.57
752.039,3.738,5.234640000000001,139.69159200000013,0.386712,0.8049513599999999,1.7243599999999997,0.62429,104.9946,0.445,12.73
751.16,3.723,5.20194,144.44817,0.400542,0.8358747600000004,1.72697,0.6207199999999999,106.5456,0.469,13.53
747.1261261261261,3.74974974974975,5.233453453453453,131.24448171895622,0.3752501249998747,0.8195462729997267,1.71149,0.6299399999999999,106.0588,0.399,15.92
747.2410000000001,3.746,5.22688,132.81485600000002,0.378968,0.8252550399999999,1.7144,0.62947,106.4102,0.407,3.98
747.466,3.737,5.210859999999999,136.45260200000016,0.387662,0.8389123600000005,1.7171899999999998,0.6268599999999999,107.0204,0.425,3.02
748.3019999999999,3.737,5.21486,137.1129540000001,0.387662,0.8330163600000002,1.71855,0.6263399999999999,106.6644,0.429,1.75
747.9000000000001,3.7280000000000006,5.1958400000000005,140.1254399999999,0.396032,0.8505369600000001,1.7203199999999998,0.62412,107.5416,0.4439999999999999,3.34
748.0500000000002,3.722,5.185160000000001,142.39283999999986,0.401432,0.85894896,1.7221799999999996,0.62238,107.9484,0.4559999999999999,1.19
748.9110000000001,3.721,5.187380000000001,143.411226,0.4023179999999999,0.8545580399999998,1.72385,0.62157,107.6602,0.4619999999999999,7.24
749.4449999999999,3.708,5.165240000000001,148.25520000000012,0.4134719999999999,0.8705001599999999,1.72822,0.6176699999999999,108.4526,0.489,19.89
745.385,3.745,5.2161,131.7234500000001,0.3799499999999999,0.8402110000000002,1.7116499999999997,0.63035,107.279,0.3999999999999999,8.75
745.526,3.731,5.19018,137.16922600000015,0.393278,0.8623168400000002,1.71565,0.62642,108.3172,0.427,5.57
745.9689999999999,3.73,5.1904,137.88532,0.3942,0.8608159999999999,1.71664,0.6258699999999999,108.207,0.431,3.34
745.91,3.724,5.17872,140.02160000000012,0.399648,0.8706534400000001,1.71816,0.6242599999999999,108.7028,0.442,1.59
746.4874874874874,3.716716716716717,5.167647647647647,143.04058613167737,0.4060677293910527,0.8777663349034723,1.71934,0.6212799999999998,108.9192,0.4579999999999999,7.16
746.4939999999999,3.709,5.15302,145.68106600000002,0.412638,0.8890576400000003,1.72315,0.6197799999999999,109.6308,0.473,2.39
738.448,3.872,5.4241600000000005,63.17465600000012,0.2232320000000001,0.6205849599999999,1.66616,0.66952,100.2704,0.128,53.32
739.2249999999999,3.866,5.41648,67.42675999999989,0.232088,0.6296166400000003,1.66904,0.66739,100.4102,0.143,51.73
740.327,3.847,5.38566,79.23007400000013,0.259182,0.6680119600000005,1.6759499999999998,0.6614899999999999,101.4314,0.184,35.81
742.3310000000001,3.817,5.33826,96.88476200000008,0.2990219999999999,0.7218031600000003,1.6872899999999995,0.65201,102.9314,0.25,11.94
742.713,3.785,5.2793,112.5831299999999,0.3375499999999999,0.7860990000000001,1.69653,0.64299,105.279,0.312,7.16
742.8450000000001,3.763,5.2381400000000005,122.34704999999984,0.361662,0.8268783599999999,1.70267,0.6368699999999999,106.9486,0.354,18.3
743.8810000000001,3.755,5.2279,126.51232999999996,0.36995,0.8336710000000002,1.70651,0.6340299999999999,107.135,0.374,17.51
745.190809190809,3.72027972027972,5.168211788211788,140.79201916964166,0.4029536896669764,0.8813172841144872,1.71971,0.6243099999999999,109.4102,0.446,2.79
746.8600000000001,3.686,5.11108,153.26612,0.4308079999999999,0.9177582400000002,1.7299399999999998,0.61324,111.2792,0.518,55.7
742.5465465465464,3.723723723723724,5.162102102102102,137.51185419653885,0.3998953908863819,0.8943747350954561,1.7110499999999995,0.62565,110.0466,0.426,3.82
742.766,3.716,5.14848,140.4333759999999,0.4066880000000001,0.90433664,1.7151999999999998,0.62402,110.6692,0.442,3.1
743.7019999999999,3.712,5.145359999999999,142.5367040000002,0.4101120000000001,0.9037273600000004,1.7178,0.6223399999999999,110.5844,0.454,5.41
743.3499999999999,3.701,5.12278,145.95521,0.419198,0.9214224400000004,1.72019,0.61954,111.5972,0.473,7.96
735.872,3.858,5.3852400000000005,68.9591760000001,0.243672,0.6774081599999998,1.66574,0.66728,102.4656,0.142,35.01
736.3809999999999,3.846,5.364879999999999,76.204296,0.2605680000000001,0.7023830400000006,1.6698,0.6636699999999999,103.1902,0.1669999999999999,38.99
737.867,3.82,5.3226,91.4398399999999,0.2952000000000001,0.7501360000000006,1.67922,0.65561,104.597,0.223,23.87
738.451,3.805,5.296900000000001,99.4867299999998,0.3139499999999999,0.7777909999999997,1.6842099999999998,0.65113,105.525,0.254,9.55
738.9760000000001,3.784,5.259520000000001,109.89798399999984,0.3386879999999999,0.8161126399999996,1.6907200000000002,0.6450400000000001,106.9488,0.296,16.71
738.749,3.768,5.22804,116.84659200000006,0.356352,0.8478105600000002,1.6946599999999998,0.64079,108.3006,0.325,18.3
740.2599999999999,3.741,5.183980000000001,129.20817,0.383838,0.8833016399999998,1.7043899999999998,0.6324399999999999,109.7752,0.383,13.53
740.6386386386387,3.724724724724725,5.154874874874874,135.6664372079787,0.3989975961947934,0.9060872684496312,1.70768,0.62711,110.7798,0.415,5.33
741.203,3.72,5.1486,137.8137600000001,0.4032,0.909216,1.71158,0.62609,111.021,0.427,2.79
742.6376376376376,3.711711711711712,5.13971971971972,141.82369757144545,0.4103563022481942,0.9113899485070658,1.71443,0.6222999999999999,110.9492,0.449,7.96
741.957042957043,3.6993006993007,5.112887112887114,145.46432588390618,0.4205584625165045,0.9330250169411008,1.7200999999999995,0.62056,112.436,0.47,18.3
742.8389999999999,3.688,5.09564,149.69779199999996,0.4293119999999999,0.9416793600000004,1.7228599999999998,0.61629,112.8346,0.495,37.4
732.008,3.837,5.32686,77.21994600000025,0.272862,0.7585563600000003,1.66511,0.6639199999999998,105.7584,0.163,53.32
731.672,3.817,5.287260000000001,87.55135400000007,0.299022,0.8051371599999997,1.6699499999999996,0.6586399999999999,107.47039999999998,0.199,34.22
732.5490000000001,3.807,5.27246,93.39733799999983,0.311502,0.8191695600000004,1.67407,0.6553500000000001,107.8814,0.222,17.51
733.1580000000001,3.791,5.244980000000001,101.72101800000024,0.3306379999999999,0.8464016399999997,1.67937,0.6505799999999999,108.8772,0.255,30.24
733.9229229229229,3.775775775775776,5.219719719719719,109.41311682052432,0.3478954429905381,0.8693037381726076,1.68303,0.64528,109.636,0.287,19.89
734.5350000000001,3.761,5.19458,116.41017000000008,0.363758,0.89100924,1.68969,0.6414899999999999,110.6442,0.318,19.89
735.103,3.755,5.1859,119.40929000000008,0.36995,0.8970910000000001,1.69223,0.63949,110.873,0.3319999999999999,15.92
735.444,3.733,5.145740000000001,128.50516200000007,0.3914219999999999,0.9298251599999996,1.6987100000000002,0.63324,112.4536,0.375,11.14
735.526,3.713,5.10814,135.94485800000004,0.4092619999999999,0.9580723600000004,1.70423,0.6277,113.9876,0.413,9.55
736.4619999999999,3.709,5.10502,138.05789799999997,0.4126379999999999,0.9571216400000002,1.7068299999999998,0.6260199999999999,113.9028,0.425,11.94
737.4389999999999,3.695,5.0831,143.48553000000013,0.42395,0.9686910000000002,1.71219,0.62157,114.58499999999998,0.4559999999999999,24.67
