avg_Atomic_Number,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,dev_1st_ionization_potential_(kJ/mol),dev_Boiling_Point_(K),dev_MB_electonegativity,dev_Number_of_unfilled_d_valence_electrons,dev_ionic_radius,sum_gilmor_number_of_valence_electron,sum_valence_p,target
24.756000000000004,344.56808,1.385,30.759647999999885,49.92972799999999,0.0052403200000001,1.0414080000000006,0.0271199999999999,4.812,0.1,61.1
24.646,344.69802000000004,1.3825999999999998,31.392051999999964,55.395130000000094,0.00680702,1.1277,0.031146,4.800999999999999,0.1159999999999999,66.9
24.407,345.48124000000007,1.3764499999999995,31.189968000000007,68.17824999999988,0.01938368,1.3125,0.0412125000000001,4.782,0.157,75.0
24.23,346.273,1.3715,30.364200000000046,77.77840000000018,0.0297199999999999,1.4448,0.0490199999999999,4.77,0.19,89.8
24.146,346.51534,1.3694,30.39569999999999,81.8624100000001,0.0336334199999999,1.504692,0.0522035999999999,4.763,0.204,91.2
24.064,346.93932000000007,1.3670000000000002,29.82460799999993,86.24800799999981,0.0385677600000003,1.5634080000000004,0.0558359999999997,4.758,0.22,94.7
23.851000000000003,347.8349400000001,1.36115,28.99094999999993,96.74352000000006,0.0496909200000001,1.7089920000000007,0.0643355999999998,4.742999999999999,0.259,102.8
23.668,348.08178000000004,1.3571000000000002,29.96980799999989,104.07863399999977,0.0558261000000001,1.8243720000000008,0.0697553999999998,4.725,0.286,100.7
23.477,348.72652000000005,1.3521499999999995,29.73520799999996,112.28295399999988,0.0641828000000001,1.9414920000000009,0.0762729,4.710000000000001,0.319,97.7
23.248,349.29348000000005,1.3466,30.12380799999999,121.10970399999968,0.0726548000000001,2.072592,0.0830903999999999,4.69,0.356,91.4
23.011,350.25834000000003,1.34015,29.28845000000003,130.4821200000001,0.0828583199999999,2.201232,0.0907325999999999,4.673,0.399,66.5
22.891,350.60454000000004,1.3371499999999998,29.33095000000003,134.66992,0.08710052,2.2619520000000004,0.0940236,4.663,0.419,76.3
22.777,351.49566,1.33325,27.498162000000008,139.69159200000013,0.0935642399999998,2.320272,0.0985229999999999,4.659,0.445,82.9
22.488000000000003,352.23572,1.3262,27.90879999999995,148.52627999999993,0.10239848,2.450448,0.1053863999999999,4.634,0.492,112.8
22.895895895895897,349.0816616616617,1.3400900900900898,34.197675152630126,131.24448171895622,0.0795850304759214,2.251500749999248,0.08983487992497,4.644,0.399,74.7
22.743,349.53224000000006,1.33625,34.23213199999999,136.45260200000016,0.0851504399999999,2.325972,0.0939674999999999,4.636,0.425,83.5
22.747,349.89552000000003,1.33565,33.038588000000075,137.1129540000001,0.0868014,2.325972,0.0948518999999999,4.640000000000001,0.429,81.2
22.636000000000003,349.93464000000006,1.3334,33.97999999999993,140.1254399999999,0.0893299200000001,2.3761920000000005,0.0969695999999998,4.627999999999999,0.4439999999999999,95.8
22.401,351.08114,1.32665,32.57455000000005,148.25520000000012,0.0992013199999999,2.480832,0.1038635999999999,4.613,0.489,98.5
22.83,348.4379,1.34,36.82470000000001,131.7234500000001,0.0778214999999998,2.2797,0.0893999999999999,4.635,0.3999999999999999,76.5
22.492492492492488,349.5888888888889,1.3312312312312309,36.42972702432165,143.04058613167737,0.0907193479766051,2.436406376346316,0.0985754523292061,4.604,0.4579999999999999,110.4
24.042,343.81682,1.3724,39.607788,79.23007400000013,0.0188510999999999,1.555092,0.0467543999999998,4.724999999999999,0.184,97.4
22.944,347.54678000000007,1.3439,38.484391999999936,126.51232999999996,0.07056042,2.2197000000000005,0.0847109999999998,4.639,0.374,75.1
22.52947052947053,348.94077922077923,1.333166833166833,38.08142307243222,140.79201916964166,0.0868997535930602,2.417722138001858,0.0962771494240025,4.611,0.446,106.5
24.154,341.6196,1.3786999999999998,44.83564800000003,68.9591760000001,0.0073101599999999,1.4620320000000002,0.0365508,4.716,0.142,75.8
24.011,342.12586,1.37495,44.6634420000001,76.204296,0.0084035999999999,1.5634079999999997,0.0423845999999999,4.704999999999999,0.1669999999999999,97.8
23.703,343.38926000000004,1.3665499999999997,43.80355800000003,91.4398399999999,0.02586708,1.7712000000000003,0.0548580000000001,4.683,0.223,98.2
23.524,343.99938000000003,1.3619,43.64267199999999,99.4867299999998,0.0349032199999998,1.8837,0.0613409999999999,4.6690000000000005,0.254,103.1
23.272,344.7264,1.3556,43.78547199999992,109.89798399999984,0.0462848000000002,2.032128,0.0696191999999999,4.648000000000001,0.296,104.6
23.077,345.00786000000005,1.35125,44.68822199999998,116.84659200000006,0.0530732399999999,2.138112,0.0748799999999998,4.629,0.325,85.1
22.757,346.30588,1.34255,43.810200000000094,129.20817,0.0683512799999999,2.3030280000000003,0.0851408999999999,4.606000000000001,0.383,85.1
22.56156156156156,346.8570570570571,1.3376876876876875,43.95638882125367,135.6664372079787,0.0758468177887596,2.39398557716876,0.0903185467750032,4.585,0.415,103.6
22.507,347.21454,1.33595,43.41199800000002,137.8137600000001,0.0789154799999999,2.4192,0.0922319999999999,4.587,0.427,106.5
22.41341341341341,348.03485485485487,1.3325825825825823,41.85981977973975,141.82369757144545,0.0850459869278689,2.4621378134891647,0.0959635310986662,4.58,0.449,122.3
22.259740259740266,348.0339460539461,1.3295704295704298,43.2414179227366,145.46432588390618,0.0883386743127004,2.523350775099028,0.0985028957056927,4.572,0.47,135.1
22.127,348.68566,1.3257499999999998,42.52846200000004,149.69779199999996,0.0941132399999999,2.575872,0.102168,4.558999999999999,0.495,143.0
23.881,340.43940000000003,1.37555,50.20660799999997,77.21994600000025,0.00818586,1.6371719999999998,0.0409292999999998,4.674,0.163,99.8
23.637,340.76852,1.37015,51.32644799999999,87.55135400000007,0.0100033000000002,1.7941319999999998,0.0487748999999999,4.65,0.199,98.2
23.520000000000003,341.38718,1.3667,50.69207199999994,93.39733799999983,0.01774394,1.8690120000000008,0.0537461999999999,4.643,0.222,95.0
23.329,342.03192000000007,1.36175,50.58150799999992,101.72101800000024,0.02765796,1.9838280000000004,0.0605114999999999,4.628,0.255,90.0
23.148148148148145,342.725985985986,1.3569069069069066,50.25743861980099,109.41311682052432,0.0372431891350809,2.087372657943228,0.0668611554497441,4.609999999999999,0.287,89.0
22.972,343.34298000000007,1.3522999999999998,50.09119999999994,116.41017000000008,0.04586898,2.182548,0.0725994,4.601000000000001,0.318,95.4
22.395,344.91392,1.3380499999999995,50.723372000000026,135.94485800000004,0.0694940399999999,2.455572,0.0883407,4.552,0.413,116.9
22.351,345.41568,1.33625,49.75706800000009,138.05789799999997,0.0732095599999999,2.475828,0.0903974999999999,4.552,0.425,128.1
22.186,346.17282,1.3316,49.1072120000001,143.48553000000013,0.0808786200000001,2.5437,0.0950759999999999,4.541,0.4559999999999999,144.8
21.992,346.54510000000005,1.3271000000000002,49.73935199999997,148.46063399999997,0.0869649000000001,2.615508,0.0989981999999998,4.523000000000001,0.486,163.9
21.953000000000003,347.50096,1.32455,47.45218799999997,151.07984999999985,0.0922858800000001,2.6325,0.1018574999999998,4.528,0.503,178.5
23.218,337.57320000000004,1.3679,61.89907199999999,95.20346399999994,0.01009224,2.018448,0.0504611999999998,4.572,0.214,99.2
23.01,338.92292000000003,1.3613,60.45935200000001,105.32044799999989,0.0160222399999998,2.138112,0.0594431999999999,4.562,0.258,89.8
22.597,339.6459,1.3518499999999998,61.84452200000004,119.55098400000026,0.0329207999999998,2.342928,0.0706842,4.523,0.321,98.4
22.302000000000003,340.9655000000001,1.3436,61.067052,130.27591400000003,0.0492711000000002,2.4758280000000004,0.0799751999999998,4.503,0.376,130.6
22.084915084915085,342.26635364635365,1.3369130869130872,59.7170202424947,138.14745095064765,0.062450177195432,2.565386661290758,0.0870990148712424,4.496,0.421,156.2
22.738000000000003,336.70908,1.3601,66.905608,109.0344639999998,0.0129471999999999,2.261952,0.0596903999999998,4.51,0.266,91.3
22.565565565565567,337.09043043043044,1.3560060060060055,67.30070410751091,115.02065829593352,0.016691826962097,2.3444225005786565,0.0645597549501454,4.49,0.293,94.4
22.325,338.55652,1.34855,66.01795200000002,124.76501800000015,0.0335518400000001,2.455572,0.0733676999999999,4.482,0.343,128.5
21.923,339.15406,1.33955,67.52935799999995,135.80416000000008,0.0483690799999999,2.6112,0.0822119999999999,4.4430000000000005,0.403,160.2
