formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe79.7Si11.6Al8.7,6.907755279,9.689675329,620.0,6700.0,15.92,1.435,97.7
Fe77.8Si13.4Al8.8,6.907755279,9.546812609,825.0,7400.0,19.89,1.317,91.4
Fe75.8Si15.7Al8.5,8.517193191,11.31447453,188.0,7100.0,4.3,,66.5
Fe74.8Si16.7Al8.5,8.517193191,11.2835123,212.0,8000.0,4.06,1.175,76.3
Fe74.2Si17.3Al8.5,8.160518247,11.15338929,262.0,8600.0,5.57,,
Fe73.8Si18.3Al7.9,7.937374696,9.350102314,403.0,3000.0,12.73,1.072,82.9
Fe72.3Si19.2Al8.5,7.377758908,9.76995616,496.0,5700.0,13.53,,
Fe71.4Si20.6Al8.0,6.345636361,7.339537695,,,,0.828,112.8
Fe68.3Si23.7Al8.0,5.676753802,6.263398263,,,,,
Fe74.9Si14.9Al10.1,8.779557456,9.928180165,522.0,3900.0,15.92,,74.7
Fe74.6Si15.3Al10.1,9.546812609,11.27212698,113.0,4400.0,3.98,,
Fe73.7Si16.2Al10.1,10.25414442,11.35392973,87.0,4900.0,3.02,,83.5
Fe73.7Si16.6Al9.7,10.46595641,11.67419361,28.0,3350.0,1.75,1.1,81.2
Fe72.8Si17.2Al10.0,9.568014816,11.38736224,106.0,4500.0,3.34,,95.8
Fe72.2Si17.8Al10.0,9.680344001,9.878169745,16.0,300.0,1.19,,
Fe72.1Si18.3Al9.6,8.556413905,10.15034763,108.0,3800.0,7.24,,
Fe70.8Si19.7Al9.5,7.170119543,8.431635303,293.0,1950.0,19.89,,98.5
Fe74.5Si14.5Al11.0,8.699514748,10.02127059,331.0,4600.0,8.75,,76.5
Fe73.1Si15.8Al11.1,9.104979856,10.71441777,151.0,4300.0,5.57,,
Fe73.0Si16.1Al10.9,9.546812609,11.22524339,87.0,4200.0,3.34,0.882,
Fe72.4Si16.6Al11.0,10.21464198,11.99535161,29.0,4350.0,1.59,,
Fe71.6Si17.5Al10.8,8.809862805,9.952277717,92.0,3500.0,7.16,,110.4
Fe70.9Si18.2Al10.9,7.972466016,8.242756346,16.0,130.0,2.39,,
Fe87.2Al12.8,5.991464547,8.411832676,2072.0,5820.0,53.32,1.887,
Fe86.6Si0.9Al12.5,6.309918278,8.23483028,2085.0,5400.0,51.73,,
Fe84.7Si3.1Al12.2,6.646390515,8.71604405,1350.0,5300.0,35.81,1.655,97.4
Fe81.7Si6.7Al11.6,7.696212639,9.937888979,423.0,5900.0,11.94,1.437,
Fe78.5Si9.7Al11.8,7.919356191,10.59663473,295.0,6800.0,7.16,1.368,
Fe76.3Si11.7Al12.0,8.29404964,9.350102314,576.0,4300.0,18.3,1.285,
Fe75.5Si12.9Al11.6,8.29404964,9.425451752,532.0,4500.0,17.51,1.225,75.1
Fe72.1Si16.6Al11.4,9.918376165,11.42190607,36.0,3150.0,2.79,0.902,106.5
Fe68.6Si20.4Al11.0,6.234410726,7.326465614,856.0,1750.0,55.7,,
Fe67.6Si21.3Al11.1,5.438079309,6.131226489,,,,,
Fe66.5Si22.3Al11.2,4.382026635,5.736572297,,,,,
Fe72.3Si15.0Al12.6,9.047821442,10.7254676,70.0,3750.0,3.82,,
Fe71.6Si15.8Al12.6,9.480367509,11.31325427,38.0,4100.0,3.1,,
Fe71.2Si16.6Al12.2,8.961879013,9.701983176,74.0,1750.0,5.41,,
