formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe0.797Si0.116Al0.087,6.907755279,9.689675329,620.0,6700.0,15.92,1.435,97.7
Fe0.778Si0.134Al0.088,6.907755279,9.546812609,825.0,7400.0,19.89,1.317,91.4
Fe0.758Si0.157Al0.085,8.517193191,11.31447453,188.0,7100.0,4.3,,66.5
Fe0.748Si0.167Al0.085,8.517193191,11.2835123,212.0,8000.0,4.06,1.175,76.3
Fe0.742Si0.173Al0.085,8.160518247,11.15338929,262.0,8600.0,5.57,,
Fe0.738Si0.183Al0.079,7.937374696,9.350102314,403.0,3000.0,12.73,1.072,82.9
Fe0.723Si0.192Al0.085,7.377758908,9.76995616,496.0,5700.0,13.53,,
Fe0.714Si0.206Al0.080,6.345636361,7.339537695,,,,0.828,112.8
Fe0.683Si0.237Al0.080,5.676753802,6.263398263,,,,,
Fe0.749Si0.149Al0.101,8.779557456,9.928180165,522.0,3900.0,15.92,,74.7
Fe0.746Si0.153Al0.101,9.546812609,11.27212698,113.0,4400.0,3.98,,
Fe0.737Si0.162Al0.101,10.25414442,11.35392973,87.0,4900.0,3.02,,83.5
Fe0.737Si0.166Al0.097,10.46595641,11.67419361,28.0,3350.0,1.75,1.1,81.2
Fe0.728Si0.172Al0.100,9.568014816,11.38736224,106.0,4500.0,3.34,,95.8
Fe0.722Si0.178Al0.100,9.680344001,9.878169745,16.0,300.0,1.19,,
Fe0.721Si0.183Al0.096,8.556413905,10.15034763,108.0,3800.0,7.24,,
Fe0.708Si0.197Al0.095,7.170119543,8.431635303,293.0,1950.0,19.89,,98.5
Fe0.745Si0.145Al0.110,8.699514748,10.02127059,331.0,4600.0,8.75,,76.5
Fe0.731Si0.158Al0.111,9.104979856,10.71441777,151.0,4300.0,5.57,,
Fe0.730Si0.161Al0.109,9.546812609,11.22524339,87.0,4200.0,3.34,0.882,
Fe0.724Si0.166Al0.110,10.21464198,11.99535161,29.0,4350.0,1.59,,
Fe0.716Si0.175Al0.108,8.809862805,9.952277717,92.0,3500.0,7.16,,110.4
Fe0.709Si0.182Al0.109,7.972466016,8.242756346,16.0,130.0,2.39,,
Fe0.872Al0.128,5.991464547,8.411832676,2072.0,5820.0,53.32,1.887,
Fe0.866Si0.009Al0.125,6.309918278,8.23483028,2085.0,5400.0,51.73,,
Fe0.847Si0.031Al0.122,6.646390515,8.71604405,1350.0,5300.0,35.81,1.655,97.4
Fe0.817Si0.067Al0.116,7.696212639,9.937888979,423.0,5900.0,11.94,1.437,
Fe0.785Si0.097Al0.118,7.919356191,10.59663473,295.0,6800.0,7.16,1.368,
Fe0.763Si0.117Al0.120,8.29404964,9.350102314,576.0,4300.0,18.3,1.285,
Fe0.755Si0.129Al0.116,8.29404964,9.425451752,532.0,4500.0,17.51,1.225,75.1
Fe0.721Si0.166Al0.114,9.918376165,11.42190607,36.0,3150.0,2.79,0.902,106.5
Fe0.686Si0.204Al0.110,6.234410726,7.326465614,856.0,1750.0,55.7,,
Fe0.676Si0.213Al0.111,5.438079309,6.131226489,,,,,
Fe0.665Si0.223Al0.112,4.382026635,5.736572297,,,,,
Fe0.723Si0.150Al0.126,9.047821442,10.7254676,70.0,3750.0,3.82,,
Fe0.716Si0.158Al0.126,9.480367509,11.31325427,38.0,4100.0,3.1,,
Fe0.712Si0.166Al0.122,8.961879013,9.701983176,74.0,1750.0,5.41,,
Fe0.701Si0.174Al0.125,7.467371067,7.60090246,100.0,240.0,7.96,,
Fe0.858Al0.142,6.086774727,8.888756748,1472.0,7100.0,35.01,1.838,75.8
Fe0.846Si0.013Al0.141,5.598421959,8.340456013,1422.0,4100.0,38.99,,97.8
Fe0.820Si0.043Al0.137,5.298317367,9.076808979,947.0,5700.0,23.87,,98.2
Fe0.805Si0.059Al0.136,7.244227516,10.06900199,317.0,5000.0,9.55,1.47,103.1
Fe0.784Si0.080Al0.136,7.377758908,9.319194777,877.0,5200.0,16.71,,104.6
Fe0.768Si0.093Al0.139,7.34601021,9.350102314,740.0,5340.0,18.3,1.23,85.1
